stock_code,stock_name,etf_code,fund_code,current_increase_streak,latest_share_change,streak_total_share_change,latest_shares,latest_weight_pct,streak_start_date,latest_as_of_date,snapshot_count
1815,富喬,00992A,500,2,950000.0,1777000.0,1777000.0,0.35,2026-08-03,2026-08-04,16
3037,欣興,00992A,500,1,400000.0,400000.0,2497000.0,5.59,2026-08-04,2026-08-04,16
1303,南亞,00992A,500,0,0.0,0.0,5445000.0,2.25,,2026-08-04,16
2059,川湖,00992A,500,0,0.0,0.0,293000.0,6.74,,2026-08-04,16
2303,聯電,00992A,500,0,0.0,0.0,7000000.0,2.3,,2026-08-04,16
2308,台達電,00992A,500,0,0.0,0.0,300000.0,1.18,,2026-08-04,16
2327,國巨*,00992A,500,0,0.0,0.0,1247000.0,2.03,,2026-08-04,16
2330,台積電,00992A,500,0,0.0,0.0,1406000.0,7.91,,2026-08-04,16
2337,旺宏,00992A,500,0,0.0,0.0,1343000.0,0.39,,2026-08-04,16
2345,智邦,00992A,500,0,0.0,0.0,1080000.0,6.07,,2026-08-04,16
2360,致茂,00992A,500,0,0.0,0.0,50000.0,0.24,,2026-08-04,16
2368,金像電,00992A,500,0,0.0,0.0,325000.0,0.89,,2026-08-04,16
2383,台光電,00992A,500,0,0.0,0.0,563000.0,7.02,,2026-08-04,16
2454,聯發科,00992A,500,0,0.0,0.0,406000.0,3.8,,2026-08-04,16
2455,全新,00992A,500,0,0.0,0.0,2753000.0,2.36,,2026-08-04,16
3008,大立光,00992A,500,0,0.0,0.0,520000.0,5.49,,2026-08-04,16
3017,奇鋐,00992A,500,0,0.0,0.0,1002000.0,6.32,,2026-08-04,16
3105,穩懋,00992A,500,0,0.0,0.0,966000.0,0.97,,2026-08-04,16
3189,景碩,00992A,500,0,0.0,0.0,440013.0,0.82,,2026-08-04,16
3231,緯創,00992A,500,0,0.0,0.0,7662000.0,3.62,,2026-08-04,16
3260,威剛,00992A,500,0,0.0,0.0,358000.0,0.35,,2026-08-04,16
3264,欣銓,00992A,500,0,0.0,0.0,72000.0,0.03,,2026-08-04,16
3363,上詮,00992A,500,0,0.0,0.0,100000.0,0.13,,2026-08-04,16
3443,創意,00992A,500,0,0.0,0.0,211000.0,2.12,,2026-08-04,16
3491,昇達科,00992A,500,0,0.0,0.0,1000.0,0.0,,2026-08-04,16
3583,辛耘,00992A,500,0,0.0,0.0,147000.0,0.25,,2026-08-04,16
3653,健策,00992A,500,0,0.0,0.0,214000.0,1.72,,2026-08-04,16
3661,世芯-KY,00992A,500,0,0.0,0.0,215000.0,1.77,,2026-08-04,16
3665,貿聯-KY,00992A,500,0,0.0,0.0,991000.0,5.53,,2026-08-04,16
3711,日月光投控,00992A,500,0,0.0,0.0,1629000.0,2.31,,2026-08-04,16
4958,臻鼎-KY,00992A,500,0,0.0,0.0,1000000.0,1.08,,2026-08-04,16
5289,宜鼎,00992A,500,0,0.0,0.0,98000.0,0.34,,2026-08-04,16
5347,世界,00992A,500,0,0.0,0.0,629000.0,0.24,,2026-08-04,16
6139,亞翔,00992A,500,0,0.0,0.0,250000.0,0.48,,2026-08-04,16
6182,合晶,00992A,500,0,0.0,0.0,4500000.0,2.06,,2026-08-04,16
6187,萬潤,00992A,500,0,0.0,0.0,1220000.0,3.22,,2026-08-04,16
6223,旺矽,00992A,500,0,0.0,0.0,326000.0,4.66,,2026-08-04,16
6488,環球晶,00992A,500,0,0.0,0.0,394000.0,0.91,,2026-08-04,16
6515,穎崴,00992A,500,0,0.0,0.0,42000.0,0.67,,2026-08-04,16
6584,南俊國際,00992A,500,0,0.0,0.0,2231000.0,2.57,,2026-08-04,16
6669,緯穎,00992A,500,0,0.0,0.0,77000.0,1.16,,2026-08-04,16
6805,富世達,00992A,500,0,0.0,0.0,109000.0,0.42,,2026-08-04,16
7734,印能科技,00992A,500,0,0.0,0.0,56000.0,0.5,,2026-08-04,16
7751,竑騰,00992A,500,0,0.0,0.0,310000.0,1.03,,2026-08-04,16
7769,鴻勁,00992A,500,0,0.0,0.0,1000.0,0.01,,2026-08-04,16
8021,尖點,00992A,500,0,0.0,0.0,2501000.0,2.37,,2026-08-04,16
8046,南電,00992A,500,0,0.0,0.0,718000.0,1.3,,2026-08-04,16
8299,群聯,00992A,500,0,0.0,0.0,366000.0,1.61,,2026-08-04,16
8996,高力,00992A,500,0,0.0,0.0,1630000.0,4.07,,2026-08-04,16
3026,禾伸堂,00992A,500,0,-215000.0,0.0,215000.0,0.25,,2026-08-04,16
